2019-06-03,193,3951000.00
2019-06-02,732,15390000.00
2019-06-01,1071,26803000.00
2019-05-31,187,9609000.00
2019-05-30,916,24406000.00
2019-05-29,606,12077000.00
2019-05-28,524,9613000.00
2019-05-27,418,2889000.00
2019-05-26,71,7323000.00
2019-05-25,1228,24431000.00
2019-05-24,257,8550000.00
2019-05-23,210,19080000.00
2019-05-22,1030,17316000.00
2019-05-21,422,11702000.00
2019-05-20,672,19240000.00
2019-05-19,1241,40870000.00
2019-05-18,883,31513000.00
2019-05-17,1109,13286000.00
2019-05-16,2650,29337000.00
2019-05-15,707,15576000.00
2019-05-14,361,9109000.00
2019-05-13,309,15327000.00
2019-05-12,400,11188000.00
2019-05-11,190,19144000.00
2019-05-10,710,20989000.00
2019-05-09,902,24536000.00
2019-05-08,1154,27307000.00
2019-05-07,848,19447000.00
2019-05-06,223,17482000.00
2019-05-05,2002,32651000.00
2019-05-04,934,16930000.00
2019-05-03,268,4978000.00
2019-05-02,684,13566000.00
2019-05-01,1463,27193000.00
2019-04-30,1,50000.00
2019-04-29,568,7832000.00
2019-04-28,498,6595000.00
2019-04-27,466,12259000.00
2019-04-26,483,4811000.00
2019-04-25,617,6266000.00
2019-04-24,1003,20348000.00
2019-04-23,389,8250000.00
2019-04-22,361,8493000.00
2019-04-21,312,7420000.00
2019-04-20,383,8236000.00
2019-04-19,323,10273000.00
2019-04-18,303,7395000.00
2019-04-17,351,7014000.00
2019-04-16,831,22646000.00
2019-04-15,100,2161000.00
2019-04-14,522,12013000.00
2019-04-13,370,8983000.00
2019-04-12,604,26271000.00
2019-04-11,601,14764000.00
2019-04-10,645,18039000.00
2019-04-09,871,22105000.00
2019-04-08,478,13713000.00
2019-04-07,379,9291000.00
2019-04-06,462,10261000.00
2019-04-05,631,14940000.00
2019-04-04,712,16778000.00
2019-04-03,642,14116000.00
2019-04-02,626,13437000.00
2019-04-01,448,10041000.00
2019-03-31,524,9536000.00
2019-03-30,580,13893000.00
2019-03-29,506,14071000.00
2019-03-28,562,14458000.00
2019-03-27,614,19063000.00
2019-03-26,1124,35810000.00
2019-03-25,556,10660000.00
2019-03-24,367,7680000.00
2019-03-23,417,9744000.00
